,0
19149,687df0f3-a6fc-4de4-9a2b-124463a8d150
19187,3e19f2b0-2b70-421e-b83e-17746ca81bbc
19263,21a1e56a-3281-4e7e-9a0d-570dbfa90fca
19417,29d128e0-8719-4fe5-9b98-91ef0e9ab829
19982,4571d637-91ad-4874-918e-971bf363180d
20276,caef9d35-ae81-4ff9-9ea0-d74a2fce6f13
20404,8658e0bf-50c4-4300-8291-9c39ced6ccb0
21619,124c4a76-585e-4677-a046-54ec053de47a
21786,bcb44ea1-fb2b-434c-acb3-73c7eace76fb
22564,085d0aa8-64f4-49c0-8ee0-2952979ae4f9
22792,447ff0c3-6798-4778-a4b6-95e9ab02bf60
22821,e275d2b2-f4c9-49a9-95f2-c2a97853771f
22893,2c9ca384-67db-4f84-ae94-de6372506eb7
24364,4a9bc24f-5891-49fd-beed-3e26ed6b80b6
24704,7525dff2-2951-4469-beba-1e90b9d8b8ca
24978,71e49bc5-1a2c-47bf-9858-6fbeeb52a182
25857,2e8abfe5-19e6-47a9-8cfd-2649b70f8f00
27233,0c873bb1-560f-4563-b38f-c69173b57d89
29280,1f6fe8c1-0810-43f1-a503-b1cec68166c0
29559,dfa7fae8-e6da-4d2b-b264-b3052c8a48a0
29851,f5bafc98-4ca4-4e31-97d4-c13feaf7317e
29869,62decddd-2e01-417b-beb2-251957b97651
29898,9b31b756-12da-4f96-9feb-0037c4b10c5a
30697,2a8061fb-8b26-4ac4-a53e-00ee0a553f5e
30966,06c2040d-ee51-4ab0-b972-579c7ef5a691
31939,02677e3f-38a1-4fed-a118-a17b0396f355
33284,21503bb5-f939-4038-abe7-f7dc432ec628
33286,4e56d2db-186a-408f-ba07-7ed6aa9aeb41
33732,36cf6fd7-3c39-4ebe-956f-25473da66b2d
34952,6231af8a-1570-446e-909d-51eb851e3f61
35448,5d0e7e4c-4aa8-40b9-9d4b-9710679302f1
35852,0b1b1189-e88c-45a1-9882-e4b33f187725
36733,00b5ed53-a19b-4789-9be6-cb8a5f909e58
36764,e49efce9-13a4-46e7-aff1-b4f23a90cbd6
37166,3047efff-b7e8-4b43-aac3-cbf63c42395b
37420,b00ee7fd-c7de-4d8d-b22a-e0f38aeee1ed
37796,90cb3e37-e573-486c-99db-5de4440d7f87
37971,5d2b727a-ad02-4e2c-90f8-27c0cf1516a0
38075,58f8686a-d338-4bb1-9290-1ef5e3d1273f
38291,7e4a2921-8d88-4400-8fd8-4f51e22c9f93
38460,3da9b967-3b5f-4d46-acd5-4698e84b9c6f
38639,ad05f731-a2ad-44d0-90e6-cf683bae6457
39061,f2cfc74d-634c-440c-b8ac-acead8f69db9
40518,2df249d9-3a04-44e3-bc1a-07ca966acedb
40781,1bba8ed3-4347-466a-9dd4-bdfd86570577
41719,76a9b473-e5b6-47d2-85df-a476f6731c6f
41840,08a0857e-88e6-46cd-8f27-64b1b6d35ff2
41958,1227e188-014d-4a24-b313-e4d00cfe2152
42334,140b78b4-0f6a-45f4-8242-af257dae7d48
42433,8a09abbd-c596-4098-8536-e75322329bcd
43042,bd11c764-6925-4d6c-9a3b-2fc32b8980aa
43044,433b576f-7fe2-4f47-a053-7b225970c626
43045,201a23bb-fcda-49a3-8a21-b76abaea445a
43046,39d16927-afed-47fb-9164-4a9c8097837c
43052,481a07bf-1e93-48cb-a11c-34ed59e9fa61
43239,13750864-2cbe-492a-9607-76cb09c88296
43565,90df388d-46ee-44cc-a066-17a07498cceb
44184,01c39d17-8f2d-4065-95e9-54492986bcb4
45175,16e336f2-72a0-4429-8132-d014cb41cb80
46446,8c64d647-3955-4329-8491-d6af65174445
48162,6647a9a1-d8dd-4782-b40c-aaade3ff6c07
48471,a9ccc654-dc9f-4bfd-82ec-248a1e532b58
48666,674294fb-ab33-43d5-87f4-34953bd917e9
48668,d7e88070-99fa-47be-9351-bafe3afa18ce
48669,603232d9-d40a-413b-9ab2-8701b193475b
48670,bf56e290-9aa4-4c81-b4eb-26e2508f01f8
48671,59e63daf-974c-40fc-b1a4-ee7a01834256
50124,d8fc64be-4cc8-4b52-b8b7-af8df792c55f
51736,14c747dd-dfb4-4f00-93cd-671a5afe9b6a
52614,32d3b775-2569-4b8a-bfc3-ad4b11ea1f2d
52640,346d1669-dc84-49ae-916c-ddd9ea1e364b
52776,85448bed-11d5-4c39-8c52-22af3efa7571
53091,b501a8ea-5e63-47ab-88bb-a14be80fe303
53395,5440cc40-a556-432e-b9ab-21bffc2bff9c
54357,1cfc412a-9574-453e-9aa5-d4d4dda2d3ec
55432,47a98b3e-195f-443f-b00b-e35c4eb84283
55743,d78ba142-c7bb-49a2-9996-bde66a9356b0
56899,6f1eb8dd-a759-4c5b-a41c-06a54213e50c
56979,a1c9784c-c6c3-4139-abfd-8cfa13c40be2
57644,48e4bc9a-8389-4ec0-8c65-496fde91081d
58058,042e52e2-042f-472f-ad5e-ff356f4adb9d
58098,fafac298-f825-4255-9a6e-b9e49f688ea7
59086,20b73c91-227b-458c-9084-9518ac9c451e
59357,32be89dd-e60c-4810-b160-9ad9008b15b6
59426,077a1590-9b5c-4f8b-a9b3-c7693d9bfcb4
59535,001a0daf-42a8-4a60-8c2b-8063060f1704
60004,33ecbc79-c081-45c0-a62e-4368179c1e76
60698,971f2165-4500-436b-9d90-835ec1f2b382
60977,8e96e352-5595-4aa6-8bfa-3a5b901be33a
62518,b5162282-7198-425e-baed-ff210d929434
62558,77c5ef9c-751f-4dba-a20d-d752a88441b9
62918,d8f5bfb9-b896-4722-9e22-c1e86168d353
63216,ae9edd60-c57d-46ca-a65a-542777f952ab
63659,d7d86283-a7c1-44a2-a6de-cdd0aeaab377
63916,dcec7f14-63aa-4fc1-9ac7-2ecb267d65d5
64173,47b17a41-4ea0-4667-a0c4-4d14e4e2b9a8
64202,4a1c0b95-6951-4fd3-bccf-e9005aa0eed3
64692,2dea0cb2-4e1b-48e9-b530-e92abc264732
64979,15987462-534e-4329-b43d-9dfdf585d012
65088,6bc87741-af74-46c4-b715-6c954d740888
65577,78cd9991-3f0e-461c-9801-1a7d3c2e13c3
66062,04d1fb33-f3c1-4188-8bbf-a5fbd2812d65
66064,0bccaeec-ef5b-4f06-8b46-ad3baff8b308
66400,e1201e3b-3f60-485d-9b5f-5bd9c75d09bc
66714,0b6e7405-ff84-473c-88ab-a5828b6a33f8
67466,4757f8f7-077c-42c4-a89c-4b8ae66e5c8f
67699,aef6e54b-713f-4076-8146-be7007eaa67a
68061,0c983382-2a88-4caf-a474-e48ae3431035
68089,5c2bece1-6bc2-4f53-aed8-b63bb1467f90
68150,c162cfeb-aae0-4ed3-a222-b111b593b314
68341,3b9eeb5f-dd6b-407e-a374-0acf305a3894
69523,a0aa2b09-e7df-4d44-a03b-6dabef7d087c
69524,64aa55a6-1155-47ee-8840-2cf631f19880
69526,a230ca92-d7ac-4058-8b6d-58a3e9fd8df1
69529,87f100e7-3b8f-4a22-b9a5-86e18f08141c
69532,95993075-6f6d-42bb-afce-ff23334d65ae
70834,1ce96d04-0f98-4c99-821c-4802b27bd3ef
71383,1225c95b-5fda-4728-b17b-0fe6f345813e
71395,a4841d53-980a-4333-9a44-f595c5c939ac
72387,8420636b-dbcd-441e-9dbf-cf01e82b4db5
72388,9617db9c-097b-4499-b348-8690c8a829c2
72389,9cf86d07-3b52-4d74-b45f-94a491f4e2bd
72396,72ffc112-c0d7-478c-90f1-f9daa7c16ab3
72397,ffa9e720-b1a6-4c1f-8427-3aac225180c5
72398,f86ca77a-c425-4487-8a60-3c3f15bded7d
75333,0fb5864e-8ef8-4d28-a716-220254900c5a
75348,561691c5-b2fc-4f42-9289-e6016bbc10f2
76451,1885d44d-e933-438e-8f8d-a0a99acef623
76874,8b9be28b-4e61-4da6-8ba1-ed0a8b5fe8d2
77165,145453c7-a232-4202-816d-df83ef4dde04
77278,54c09bc3-7f78-4f2b-a943-8e301235050d
77542,b043e33a-7ebf-412d-a6bf-ba19e7920202
78604,f6add02b-4368-4c48-ae37-f48eceead4cf
78605,4439056b-0eba-4d2a-92bb-1ab638f442fa
78801,b4f5967e-9a12-40db-8114-47c9ee750b47
79443,011e4370-9944-4540-9f14-2d60d1f1b11c
79903,8578ce03-f282-4a8c-aa77-3b0a0394adf4
80067,2e691271-792b-42d0-b731-16406118b566
80447,05743840-2335-4629-aca1-1d982cf6b119
80594,1dee34f4-d407-4b50-b8d8-d9df7dbb2b11
82426,f16af42f-34a7-46e4-9f90-72bae12ed264
82834,425ecfa2-7e31-4753-9ec2-d15390b01b33
83034,ab95a68e-ac80-4ea8-987f-d9a7720c9762
83502,ea1b1a83-cc4f-4aaa-90ff-51cfd41a748c
84030,0950ca1b-5767-47bb-b204-dab57e46e452
84201,7cb0ea7d-01ed-471b-8e6a-3bfab524d375
84206,464d7d14-dd0a-4566-8287-82568336c7e5
